GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
302,98,5,3.4,3.5,8.38,1,0.71062315
288,97,2,2.7,2.2,9.2,0,0.6870959
295,96,1,1.5,1.9,9.27,0,0.67244047
272,110,4,1.2,2.6,9.18,0,0.7946383
291,99,2,3.4,4.7,9.97,1,0.8016816
330,108,2,2.1,4.8,9.13,0,0.8230687
318,118,5,3.1,1.7,7.21,0,0.84543294
287,100,3,4.4,3.6,9.59,0,0.74528295
325,88,5,4.3,2.6,9.33,1,0.7651091
301,109,4,3.9,1.2,7.33,1,0.57325834
304,112,5,2.4,1.3,7.56,1,0.5973415
321,97,1,2.4,4.0,9.8,1,0.83137745
316,89,3,4.4,1.0,8.24,1,0.6447461
265,80,1,1.8,2.6,8.77,1,0.6527089
287,107,3,2.6,1.6,6.58,1,0.4968614
287,112,5,1.3,5.0,8.93,1,0.7844656
303,118,5,1.5,1.2,8.09,1,0.6742387
289,97,2,2.4,1.5,9.86,0,0.7461627
321,88,2,1.8,4.7,6.34,0,0.53088623
334,107,3,3.6,2.2,8.72,1,0.72857887
321,102,5,1.3,2.2,9.2,1,0.7875914
260,105,5,3.7,4.7,9.85,1,0.84942365
286,112,4,3.8,1.7,7.17,0,0.6257511
321,99,4,3.1,4.9,7.22,0,0.6870276
336,95,4,2.3,2.7,6.43,1,0.6864362
262,98,4,4.6,2.7,9.97,0,0.81817853
329,111,5,4.7,4.7,8.86,0,0.82817715
331,90,2,3.7,1.4,8.35,0,0.5453002
286,119,4,4.3,1.8,6.37,1,0.5214473
268,105,5,3.7,4.3,8.7,1,0.7570086
321,80,3,4.3,1.6,8.53,1,0.69176304
296,117,1,4.4,2.3,7.59,0,0.6405185
310,91,4,1.1,4.0,7.64,0,0.52178895
303,88,5,4.1,2.7,6.41,1,0.63074386
283,87,3,1.7,3.4,7.98,0,0.4856425
338,110,3,3.1,2.6,6.32,0,0.8480494
318,99,5,1.0,3.4,9.34,1,0.77746975
291,98,4,2.9,4.8,9.76,0,0.7546026
311,111,3,2.3,1.7,7.93,0,0.698809
321,84,3,3.9,3.2,6.61,1,0.6401457
317,110,2,4.7,4.9,8.02,1,0.7551087
311,101,1,3.0,1.8,8.55,0,0.6352541
271,99,3,2.6,1.7,8.74,1,0.668651
298,91,2,3.6,3.7,7.97,1,0.656836
261,98,1,2.9,5.0,9.46,0,0.72118443
262,116,3,3.6,1.1,8.27,0,0.7294509
315,81,3,3.1,2.6,9.27,0,0.57643837
340,83,5,3.2,4.1,8.47,0,0.62637323
318,109,5,1.8,1.5,7.43,1,0.63678926
261,102,1,3.6,3.8,7.0,0,0.5278492
261,100,3,3.0,2.8,6.94,1,0.5917767
313,84,5,2.8,2.9,9.48,1,0.7533959
260,86,3,2.6,4.3,8.62,0,0.5625611
278,91,4,2.9,2.9,8.01,1,0.6346937
261,120,5,2.7,2.6,7.08,1,0.6715486
312,90,1,1.4,3.1,9.44,1,0.68453354
303,93,4,4.6,2.3,6.1,0,0.5210611
291,118,1,1.5,3.4,6.07,0,0.7603675
329,82,2,1.9,2.9,7.77,1,0.7310048
291,102,4,1.8,1.7,7.63,0,0.45819297
327,82,2,3.0,4.6,8.96,0,0.6929105
314,115,4,3.2,4.6,9.92,0,0.95500225
334,118,5,3.8,2.0,9.49,0,0.8169112
315,103,1,1.0,2.3,6.61,1,0.58204037
276,120,5,2.0,2.1,7.77,1,0.70659673
297,112,2,1.2,1.3,9.74,1,0.85294485
283,111,3,1.1,2.3,8.26,0,0.67433655
328,109,1,1.3,3.8,9.38,0,0.82174516
329,115,3,1.9,2.5,6.86,0,0.83593607
270,82,2,3.0,4.6,8.05,1,0.62504005
275,85,5,4.6,2.7,7.31,1,0.6705863
332,111,1,2.7,2.9,7.71,1,0.6416573
318,85,3,2.2,3.5,9.3,1,0.6955295
329,83,2,2.4,1.5,7.56,0,0.45336857
339,83,1,1.8,1.4,8.4,1,0.69650525
262,92,3,2.8,2.3,6.23,0,0.43148804
279,82,2,2.9,2.6,7.89,1,0.63590324
318,114,1,3.1,4.3,9.83,1,0.90802675
295,95,5,2.6,2.3,6.34,0,0.45626092
278,103,2,1.1,2.8,7.38,1,0.5360504
326,119,2,4.0,1.8,8.46,0,0.74850273
278,103,1,1.6,4.7,7.18,1,0.58524066
279,103,5,1.5,4.6,7.83,0,0.5785575
330,117,1,1.2,3.0,9.52,0,0.83533216
311,84,4,4.2,4.7,8.65,1,0.73501706
292,98,4,4.5,3.2,9.0,1,0.74795616
299,86,4,1.5,1.9,6.63,1,0.735479
298,109,4,4.3,5.0,6.14,1,0.6940118
260,104,1,4.8,3.6,7.62,1,0.6741957
270,80,3,4.7,1.5,9.37,0,0.6020665
316,81,3,2.1,4.3,6.63,1,0.706909
309,87,5,2.8,4.3,8.13,1,0.6961799
282,83,1,3.4,2.0,7.53,1,0.60372764
290,111,5,4.9,1.4,6.17,1,0.54177225
301,117,2,2.9,5.0,9.03,0,0.83138114
266,85,1,2.0,1.1,8.06,1,0.63310844
275,119,2,1.2,3.7,6.38,1,0.60679466
319,112,5,4.5,4.4,9.34,1,0.88703966
261,116,3,4.5,1.8,7.17,0,0.6797336
260,89,1,3.6,1.5,9.16,1,0.6701922
307,103,2,4.5,3.1,7.52,1,0.6470536
271,115,2,1.2,1.1,9.31,1,0.79272765
328,82,4,2.8,3.0,9.05,1,0.7234659
296,116,5,4.0,1.9,9.94,1,0.9607645
291,106,5,1.2,1.4,6.21,1,0.6048839
268,103,1,2.4,2.2,8.13,0,0.611313
278,95,3,3.0,4.3,7.67,1,0.610634
307,111,3,5.0,4.9,9.88,0,0.8913864
339,95,2,3.2,1.8,7.79,0,0.58190066
262,88,5,1.4,2.5,7.87,1,0.7109907
279,95,5,2.7,1.4,8.53,0,0.5729253
283,95,1,3.4,3.5,8.91,0,0.62684065
313,83,4,2.5,2.2,6.84,1,0.72143537
292,90,2,1.1,2.6,8.19,0,0.5042816
283,103,4,1.4,2.1,6.87,0,0.50687224
334,110,5,3.5,1.7,6.74,0,0.8391416
331,103,2,2.1,3.1,6.12,1,0.6994864
295,103,2,2.7,1.5,7.57,0,0.52839
297,103,2,4.8,4.1,6.07,0,0.6439883
284,115,2,1.1,1.1,6.27,0,0.67440796
277,111,5,4.2,4.7,7.59,0,0.68560135
325,94,3,4.0,3.5,7.1,0,0.62845814
313,101,4,3.8,1.8,6.8,1,0.5254663
294,113,2,3.8,4.9,6.62,0,0.65314174
339,118,3,3.9,4.1,9.34,1,0.9107109
320,91,2,3.6,4.2,6.84,0,0.6371389
300,96,4,4.0,3.5,9.87,1,0.8028192
292,120,2,1.8,3.7,8.4,1,0.7319662
327,81,4,1.1,1.5,6.36,0,0.54521024
292,118,5,2.2,4.0,6.16,1,0.7144658
273,85,1,1.8,4.6,8.95,1,0.6341051
280,110,1,3.2,3.9,7.16,0,0.54881525
307,104,2,2.2,4.1,9.73,0,0.83422667
279,107,1,1.6,2.1,6.9,0,0.5103163
267,105,5,2.2,4.1,8.07,1,0.6798696
266,83,3,4.6,2.4,6.33,1,0.6401768
326,108,2,2.7,2.5,9.74,1,0.88497585
276,94,5,3.9,4.6,6.05,0,0.5988119
292,113,2,4.1,2.8,7.85,1,0.6598131
307,112,3,5.0,4.6,7.64,0,0.7136571
335,95,5,2.1,4.2,6.73,0,0.6736042
318,119,1,1.8,4.5,7.42,0,0.8017326
281,118,5,1.6,4.5,8.39,0,0.7029325
289,84,1,1.5,2.6,6.28,1,0.6573429
297,113,5,2.8,1.9,9.36,0,0.77188516
310,101,1,3.3,2.4,7.67,0,0.55427134
313,116,4,2.8,3.6,7.31,1,0.6329264
267,89,2,2.0,2.5,7.14,1,0.61698914
286,110,3,2.0,3.5,9.95,1,0.8681448
286,93,1,2.6,1.1,9.12,0,0.6349563
280,113,1,3.7,2.4,6.82,0,0.5672625
289,98,4,4.9,3.6,9.92,1,0.82062674
287,116,1,3.4,2.2,9.18,1,0.8019073
323,100,3,2.8,4.9,8.94,0,0.76025194
328,116,5,1.3,4.6,8.47,0,0.8006287
320,103,4,3.5,5.0,6.59,1,0.6570287
307,111,5,3.9,1.6,7.22,1,0.59893167
278,109,2,2.4,1.3,7.72,1,0.5919559
263,116,4,2.9,3.7,7.33,0,0.6381124
294,117,1,2.4,1.9,8.53,1,0.73747253
323,96,5,3.2,4.1,9.31,1,0.7848438
308,115,5,1.5,4.2,8.29,1,0.7125121
276,110,2,2.8,2.0,6.49,1,0.49745384
303,96,3,2.3,4.2,9.45,1,0.73482037
289,93,5,3.7,3.1,7.85,0,0.54306257
305,85,3,2.9,4.6,8.84,1,0.6808238
265,109,5,2.0,4.6,9.18,0,0.80376315
296,98,2,2.7,2.5,7.47,1,0.57538176
283,106,5,1.5,4.3,7.74,0,0.568418
305,119,3,1.1,4.5,8.63,0,0.770591
312,116,4,1.0,3.5,7.74,1,0.7697479
319,110,1,4.9,3.2,8.62,1,0.7470849
322,95,5,2.6,4.7,9.59,1,0.7775441
291,92,4,2.4,4.6,8.63,0,0.62754655
292,94,2,1.5,1.7,8.24,0,0.5428981
326,105,2,3.6,1.8,9.22,1,0.79535186
277,108,3,4.3,3.9,8.29,0,0.6457923
284,80,5,3.4,1.4,7.34,1,0.74650985
313,112,1,2.4,3.9,8.71,1,0.7442901
317,113,3,4.8,1.9,9.88,1,0.9201934
326,113,5,3.7,2.5,6.2,1,0.6868452
305,113,2,1.7,2.1,6.39,0,0.706135
283,100,3,1.9,3.2,8.89,1,0.69306
291,86,4,2.8,4.7,7.27,0,0.5823294
306,80,5,4.9,3.9,8.91,0,0.6538919
282,80,5,3.0,2.7,7.13,1,0.70826876
325,97,5,1.6,1.9,8.19,1,0.7357123
286,111,3,1.8,3.9,9.94,1,0.8840276
261,110,3,4.4,3.9,7.26,0,0.64875704
276,97,5,3.0,2.4,7.89,1,0.6774953
292,95,5,2.7,2.6,9.79,0,0.7024316
268,80,2,2.6,4.3,7.7,1,0.6162567
302,90,1,1.2,2.1,7.47,0,0.45665008
307,109,2,3.8,4.2,6.7,0,0.63059473
298,120,1,3.8,4.4,9.96,1,0.920974
301,107,2,1.2,4.7,8.21,1,0.6569962
285,105,3,1.5,2.5,8.65,0,0.7117979
309,102,1,1.7,3.8,6.46,1,0.54691845
284,89,2,1.4,2.7,6.32,1,0.6638978
283,90,1,3.3,3.2,8.17,0,0.51123613
272,85,1,3.0,2.9,6.33,1,0.595656
319,108,5,3.9,3.0,8.39,1,0.75532275
266,101,2,2.0,1.5,6.29,1,0.56637025
316,93,5,1.7,1.4,6.49,1,0.6665453
295,85,3,2.8,1.1,9.09,0,0.52703786
304,99,2,4.6,3.2,9.66,1,0.788433
279,90,5,1.6,2.4,7.12,1,0.6858827
324,81,2,5.0,1.6,7.43,0,0.5196441
267,104,1,4.8,2.3,8.78,1,0.71375734
275,94,4,2.3,4.9,7.43,0,0.58437204
273,117,1,3.0,2.4,8.1,0,0.6935925
335,84,1,2.5,3.9,7.65,0,0.60438204
274,94,3,4.2,4.3,9.36,0,0.6766434
325,105,3,2.5,2.1,6.86,1,0.5518959
291,90,3,2.5,1.5,7.92,0,0.46501705
322,112,5,2.4,3.4,6.88,0,0.8285047
310,116,1,4.2,4.6,8.44,1,0.76208496
284,115,4,3.2,3.9,7.99,1,0.72673696
317,120,5,4.1,2.7,6.41,1,0.71377933
322,117,2,2.1,3.7,8.79,1,0.8105385
321,90,2,2.1,3.5,9.67,1,0.7322691
281,114,4,1.2,3.8,8.55,0,0.7490026
317,88,3,1.9,4.4,8.52,1,0.69031346
317,90,4,4.2,4.3,8.26,1,0.70597917
308,120,5,4.8,1.8,9.77,0,0.9116803
311,112,4,4.3,1.5,6.39,1,0.52740335
301,112,5,3.0,4.7,6.67,0,0.7033925
329,106,3,3.5,2.8,7.12,0,0.7364772
274,97,2,1.6,2.1,7.23,0,0.4523641
313,90,2,1.2,4.6,9.17,1,0.6797915
319,109,3,3.0,4.0,8.43,1,0.7258043
267,95,3,1.4,3.5,8.61,0,0.592626
312,103,2,1.8,3.8,7.08,0,0.6265089
319,80,4,2.5,1.7,6.34,0,0.4892518
264,90,2,1.5,1.6,8.39,0,0.5298151
327,85,4,2.3,4.2,6.05,0,0.56261134
265,91,1,1.1,1.5,8.25,1,0.64564764
306,105,3,2.5,4.6,7.57,0,0.6526658
314,98,1,1.3,4.6,6.75,0,0.6004898
299,80,5,1.5,1.3,9.83,0,0.54645985
311,113,5,2.7,2.6,7.34,0,0.74964005
275,99,5,2.9,2.9,8.33,0,0.60238856
272,91,4,1.4,2.3,6.6,1,0.66424125
289,103,5,3.4,3.7,7.03,1,0.65191036
278,111,2,3.2,2.9,9.44,0,0.84105754
276,112,4,2.7,2.4,9.12,1,0.80710554
322,118,3,1.7,4.2,7.98,0,0.8092154
278,89,5,3.2,1.8,7.53,1,0.6957818
317,101,4,1.4,1.6,8.03,1,0.6920007
314,120,5,1.0,2.1,7.85,1,0.8047237
321,93,5,4.3,3.6,8.45,1,0.7215173
282,83,4,2.1,2.4,8.08,1,0.68575376
268,108,4,4.6,3.9,8.71,0,0.7199473
271,85,4,1.9,1.2,6.22,0,0.41567686
260,119,2,1.0,1.9,8.49,1,0.7356058
317,118,3,3.8,4.8,9.81,0,0.9464282
260,104,1,1.8,1.7,9.48,1,0.73994964
293,87,3,2.4,2.4,6.76,0,0.42309618
307,90,2,3.7,4.1,8.54,0,0.6301669
260,80,2,3.7,2.4,7.36,1,0.6480881
275,85,2,3.1,1.9,8.16,0,0.45757106
320,117,3,2.3,4.4,7.38,0,0.8267972
323,107,2,3.6,1.3,8.34,1,0.63358414
322,111,2,4.8,2.3,9.01,0,0.7784521
328,88,2,1.3,4.9,6.85,1,0.7385557
281,113,4,2.5,4.4,6.61,0,0.5760512
326,81,3,1.9,3.8,7.62,1,0.73505473
335,101,3,2.9,1.7,6.23,0,0.6964517
285,118,5,4.7,1.5,8.5,1,0.8123637
275,102,1,1.7,4.3,7.84,1,0.59164995
310,82,2,4.3,3.2,8.1,1,0.6899881
316,95,1,4.6,3.9,9.7,1,0.82099485
288,120,5,1.2,1.1,9.78,1,0.89633995
337,109,2,1.3,4.9,8.4,1,0.79261947
328,98,1,4.5,1.1,7.74,0,0.5715203
306,105,5,2.9,1.6,8.54,1,0.7506414
321,95,4,4.4,1.0,6.37,1,0.48977092
328,101,4,4.7,4.6,6.64,0,0.7316507
335,85,5,3.0,4.9,6.02,1,0.74295926
275,116,4,2.1,3.4,6.17,1,0.58580935
307,84,3,3.3,3.1,9.85,1,0.71681756
298,93,2,2.4,3.5,8.03,1,0.6150433
292,103,5,2.9,4.4,8.77,0,0.672682
282,93,3,1.9,2.6,6.19,0,0.39937204
269,88,1,2.1,2.5,7.09,0,0.38528082
328,119,2,4.9,3.0,8.71,0,0.78615725
293,90,2,3.0,2.1,6.03,0,0.42596874
311,89,1,2.6,1.1,7.14,1,0.55542874
269,110,2,3.1,1.3,8.15,1,0.65923953
278,104,5,1.4,2.2,9.19,1,0.75967467
317,99,3,1.7,2.1,8.94,1,0.744022
260,110,1,3.6,2.0,8.18,1,0.6709671
328,95,2,2.0,3.0,9.46,0,0.72340226
263,116,1,3.6,2.0,9.42,1,0.8246552
275,85,2,2.2,3.4,7.12,1,0.6293157
283,90,3,4.1,2.2,7.54,1,0.6181552
339,119,3,1.4,2.4,9.7,1,0.9424619
261,98,5,4.1,2.7,6.78,0,0.56675863
291,80,5,1.6,2.8,9.43,0,0.56164724
283,106,5,1.8,1.0,9.49,0,0.69354284
271,100,5,3.5,1.2,9.83,1,0.817116
309,120,4,2.4,2.2,8.67,1,0.8080902
294,93,5,4.2,3.2,8.3,0,0.59707695
292,99,5,4.6,3.3,9.95,1,0.84399176
292,114,5,3.8,2.7,8.85,1,0.83048296
320,116,3,4.0,2.6,9.55,0,0.87849975
310,110,5,1.4,1.3,6.25,0,0.6937869
302,81,4,4.1,2.5,9.52,1,0.7303846
271,97,3,2.2,3.2,8.0,0,0.545508
326,100,4,2.2,4.2,9.91,1,0.8641652
324,104,1,2.8,3.6,8.46,0,0.69949394
292,92,5,1.1,1.3,6.6,1,0.7360091
299,115,2,4.0,4.8,8.5,1,0.7305798
333,96,1,3.2,1.1,7.64,1,0.4957533
302,91,2,3.1,3.0,6.12,1,0.59248924
303,101,1,1.6,2.0,8.0,0,0.5554785
288,103,1,2.0,3.3,7.74,0,0.5570759
272,94,5,2.6,2.0,7.3,1,0.6844724
271,86,3,2.1,2.7,6.8,0,0.40526068
305,82,2,2.5,3.6,7.28,1,0.6530044
261,99,4,3.5,2.6,7.35,1,0.6385541
294,105,3,2.9,1.9,8.89,0,0.7213369
340,107,4,4.8,2.1,7.56,1,0.5726943
267,114,1,4.0,2.7,6.19,1,0.5482045
285,119,5,4.2,2.6,6.62,0,0.76587963
333,88,3,1.1,2.7,7.29,0,0.5962857
293,86,3,2.2,2.4,7.81,0,0.45501316
266,119,1,3.5,1.4,6.91,1,0.5430255
327,93,4,3.0,3.8,8.71,0,0.65411884
317,97,4,1.7,4.0,7.37,1,0.62900907
334,89,5,3.4,1.2,9.57,0,0.56969017
288,114,4,1.4,3.8,9.37,1,0.8468614
295,94,4,1.0,2.9,9.44,0,0.60623974
280,83,3,4.7,1.4,7.06,1,0.6288836
295,98,3,3.6,4.9,7.63,0,0.66251606
269,107,2,3.6,4.2,8.05,0,0.59792936
332,102,1,3.7,5.0,9.26,1,0.8626942
283,101,1,3.4,4.9,8.26,1,0.6778587
323,101,4,3.7,1.3,9.38,1,0.80128527
308,113,5,1.4,2.5,7.94,0,0.6498473
295,119,5,3.3,4.7,6.72,1,0.66005737
283,90,1,4.3,4.5,6.55,1,0.66778064
282,117,2,1.7,1.3,9.79,1,0.8779239
321,110,3,2.8,3.9,9.38,0,0.85241157
296,106,2,1.9,2.5,6.01,0,0.65682226
271,84,2,2.4,2.1,8.76,1,0.6448824
314,108,4,3.9,1.6,8.8,1,0.7787264
272,84,3,3.6,4.4,7.22,0,0.5582381
282,97,5,4.8,3.2,9.4,0,0.72439426
289,108,3,1.9,2.1,8.63,0,0.7201475
276,81,5,2.0,1.9,8.72,0,0.5411722
321,93,1,4.2,4.3,7.38,0,0.65567875
272,102,1,4.2,4.4,8.2,0,0.5867965
318,108,5,4.1,4.5,6.33,1,0.6504558
278,118,2,3.1,2.4,7.19,1,0.5894796
308,87,3,2.0,1.9,7.2,0,0.4112707
271,83,4,1.0,1.7,6.42,1,0.75473696
320,116,3,1.2,2.1,7.47,1,0.7487424
278,111,3,1.8,2.2,8.47,0,0.72980034
335,117,4,2.0,3.1,6.99,1,0.85890937
268,108,2,1.4,1.2,7.03,1,0.5633618
330,108,4,4.3,3.1,8.7,1,0.78909034
287,80,3,2.0,3.5,9.4,0,0.56087196
337,82,4,2.5,1.8,8.5,1,0.7519787
311,98,2,3.1,4.2,7.79,1,0.65255785
275,93,1,1.0,1.4,8.67,1,0.65875053
328,111,1,2.7,4.4,6.45,0,0.8298732
271,102,1,4.2,3.0,6.28,1,0.57650906
284,105,3,2.7,1.6,7.33,1,0.5687669
311,97,4,1.3,4.4,9.83,1,0.78019714
312,94,1,1.6,1.1,8.19,1,0.59815
282,104,3,2.5,3.8,6.88,1,0.5823622
275,115,5,1.3,1.9,9.99,0,0.86419106
316,117,1,3.3,1.1,7.12,0,0.6638793
298,101,1,1.0,1.9,7.78,0,0.53258425
312,97,5,4.8,1.7,8.59,1,0.7713963
301,91,5,2.1,2.9,7.16,0,0.4369064
317,106,5,3.9,2.7,6.36,0,0.7757851
298,99,1,1.8,3.2,9.05,1,0.71489805
273,95,3,2.9,2.4,6.37,0,0.43185386
264,94,4,2.7,2.6,7.7,0,0.53311616
294,89,5,3.8,3.5,8.66,0,0.6145216
334,118,5,2.1,3.3,8.16,0,0.89549476
277,84,4,4.5,3.0,9.32,1,0.72386
335,114,3,3.9,1.1,7.68,1,0.56734186
268,96,3,4.7,1.3,8.13,1,0.66761494
333,120,5,3.2,3.3,6.48,0,0.9903068
317,109,5,4.9,2.2,7.3,0,0.6966891
276,83,2,2.6,2.0,8.19,0,0.4462096
266,101,5,3.9,3.2,9.29,0,0.7670085
305,110,4,1.8,4.0,7.79,0,0.6216666
272,108,3,4.3,1.8,9.56,0,0.8282425
299,120,2,4.5,4.5,9.1,0,0.82788676
301,95,2,4.6,1.9,7.45,1,0.60654485
268,104,1,2.9,3.6,8.77,0,0.6894145
309,96,2,1.4,2.4,6.16,0,0.552407
286,97,1,2.0,2.8,9.92,0,0.77158254
325,116,1,2.9,4.5,7.75,0,0.74306285
264,116,2,2.4,4.9,6.44,0,0.57762975
288,108,2,2.5,3.1,7.88,0,0.6054381
296,120,2,2.4,3.8,8.84,1,0.795915
297,106,1,2.0,1.6,6.36,1,0.48772636
267,110,4,3.3,2.1,9.99,0,0.9234794
324,102,2,2.4,3.5,7.68,1,0.61057746
